file_accession	tier	file_set	donors	days	donor_days	content_type	file_format	size_bytes	md5sum	download_url	s3_uri
IGVFFI0792WBWA	processed	IGVFDS6644XMIF	C38	14	C38:14	methylation counts	tsv	154642000	b38e597b2fdfd478958237f772311805	https://api.data.igvf.org/tabular-files/IGVFFI0792WBWA/@@download/IGVFFI0792WBWA.tsv.gz	s3://igvf-public/2026/01/28/7d0d5a1c-7c27-4f1b-b19b-f70f16c4860f/IGVFFI0792WBWA.tsv.gz
IGVFFI1394SKCL	processed	IGVFDS6644XMIF	C38	14	C38:14	per-cell quality report	tsv	314355	e910d375aac4f1da947a5e2f3d356ca0	https://api.data.igvf.org/tabular-files/IGVFFI1394SKCL/@@download/IGVFFI1394SKCL.tsv.gz	s3://igvf-public/2026/08/03/1ebf8ed1-8604-41eb-97ee-42cd3a87d4a0/IGVFFI1394SKCL.tsv.gz
IGVFFI4146XDHB	processed	IGVFDS3263QXPN	C38	1	C38:1	alignments	bam	55445194189	6757854f87ff92175d705b50555a5c77	https://api.data.igvf.org/alignment-files/IGVFFI4146XDHB/@@download/IGVFFI4146XDHB.bam	s3://igvf-public/2026/01/28/8d0bacd4-fced-46c1-857e-fce8b4bf585c/IGVFFI4146XDHB.bam
IGVFFI5959WGPA	processed	IGVFDS3263QXPN	C38	1	C38:1	cell by bin contact matrix	mcool	167687710	9acf4bbdea90d7499cd7e14b16f0dd76	https://api.data.igvf.org/matrix-files/IGVFFI5959WGPA/@@download/IGVFFI5959WGPA.mcool	s3://igvf-public/2026/01/28/85878bbe-187b-4e34-b0f4-dd53564eefa1/IGVFFI5959WGPA.mcool
IGVFFI5080LVST	processed	IGVFDS3263QXPN	C38	1	C38:1	cell by bin methylation count matrix	h5ad	97958722	f2ce31bbd5ea170d7cf7057cb59fce24	https://api.data.igvf.org/matrix-files/IGVFFI5080LVST/@@download/IGVFFI5080LVST.h5ad	s3://igvf-public/2026/01/28/16180951-e001-4c58-8c78-d78195397d5e/IGVFFI5080LVST.h5ad
IGVFFI9047IEWT	processed	IGVFDS3263QXPN	C38	1	C38:1	cell by position methylation count matrix	h5ad	10877228616	c42c7440110aaf64ca79df2392c21395	https://api.data.igvf.org/matrix-files/IGVFFI9047IEWT/@@download/IGVFFI9047IEWT.h5ad	s3://igvf-public/2026/02/17/4f3d4665-9825-4c5d-915e-aa2ffe4530d0/IGVFFI9047IEWT.h5ad
IGVFFI1693TKLI	processed	IGVFDS3263QXPN	C38	1	C38:1	chromatin contact quantifications	bedpe	4290596176	500b98baa9c2eb51ce8854a965bef577	https://api.data.igvf.org/tabular-files/IGVFFI1693TKLI/@@download/IGVFFI1693TKLI.bedpe.gz	s3://igvf-public/2026/01/28/a4c84477-0b1a-4205-a72e-a825b7632d9e/IGVFFI1693TKLI.tsv.gz
IGVFFI3818UYMB	processed	IGVFDS3263QXPN	C38	1	C38:1	index	tbi	2220664	c0df4f43079c50e4c7dbb030cc886cb1	https://api.data.igvf.org/index-files/IGVFFI3818UYMB/@@download/IGVFFI3818UYMB.tbi	s3://igvf-public/2026/03/26/f1955706-ac92-4b6f-a215-922918f543e1/IGVFFI3818UYMB.tbi
IGVFFI7784NXTX	processed	IGVFDS3263QXPN	C38	1	C38:1	methylation counts	tsv	155602044	9fba5ef8a5e033c3d1c8784832c48495	https://api.data.igvf.org/tabular-files/IGVFFI7784NXTX/@@download/IGVFFI7784NXTX.tsv.gz	s3://igvf-public/2026/01/28/94e912d2-67f6-4011-a81c-a2e7479eb1ff/IGVFFI7784NXTX.tsv.gz
IGVFFI7879ECLT	processed	IGVFDS3263QXPN	C38	1	C38:1	per-cell quality report	tsv	329662	19ed23ccf89697e279e247cf97c5d7c0	https://api.data.igvf.org/tabular-files/IGVFFI7879ECLT/@@download/IGVFFI7879ECLT.tsv.gz	s3://igvf-public/2026/07/31/5a106717-6027-4e15-9700-61d28c777be0/IGVFFI7879ECLT.tsv.gz
